Codigo-N;DIRECCION;ACTIVIDAD - Nombre Sede Nuevo;Ambito;TELEFONO Principal;Respaldo Movil / NGN/ RDSI Local;POBLACION;PROVINCIA;NIF;DISTRITO POSTAL;DISTRITO TARIFICACION;TIPO CONEXIÓN;SERVICIOS Prestados;ESTADO julio 2018;CRITICIDAD;Horario Servicio;Contacto Centro Fijo;Conatcto Centro Móvil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2805;C/ Cortes de Aragón 1-3;C.E.I.P. Asunción Pañart Montaner - Aínsa-Sobrarbe;C. Educa.;974510040;;Alagón;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2724;C/ Demetrio Galán Bergua s/n;C.E.I.P. El Pomillo - Ainzón;C. Educa.;976868676;;Alba del Campo;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0265;C/ Corona de Aragon s/n, bajos;Corona de Aragon 5, Bajos (Antiguo);Salud;;;Albalate de Cinca;Zaragoza;LS5011001D;50630;5061;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0273;C/ Mayor 12 - 10;Agencia Comarcal;Admon.;611066;;Albalate del Arzobispo;Zaragoza;LS5011001D;50630;5061;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0382;Ctra. Zaragoza - Logroño;Zaragoza - Logroño;Admon.;;;Albalatillo;Zaragoza;;;;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0672;C/ Corona de Aragón, 5;Centro Salud Alagon;Salud;976611544;976696229;Albarracín;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;24x7;;619423309 / 710015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2391;Avda. de la Jarea s/n;C.E.I.P. Aragón - Alagón;C. Educa.;976611354;;Albelda;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2392;Avda. de la Portalada 22;I.E.S. Conde Aranda - Alagón;C. Educa.;976616080;;Albentosa;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2748;Avda. Portalada 22;E.O.E.P. Equipo Orient.Educ.Y Psicop. - Alagón;C. Educa.;976613442;;Alcalá de Ebro;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2854;C/ Cortijo 27;C.R.A. Cuna del Jiloca - Alba del Campo;C. Educa.;978860731;;Alcalá de la Selva;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0578;Ctra. Belver;Centro Salud Albalate de Cinca;Salud;974468806;974263645;Alcañiz;Huesca;;;;;L, V, D;activo;ES. REMOTO;24x7;;616643504 / 720010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2083;C/ San Miguel 23;C.R.A. Albeos - Albalate de Cinca;C. Educa.;974468888;;Alcorisa;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0023;Ctra. de Madrid s/n, bajo (Guard Inm Concepcion);Guarderia Immaculada Concepcion;Admon.;332078;;Alcampell;Zaragoza;LS5011001D;50012;5019;;duplicado con 2745;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2129;C/ Ronda Gárate s/n;C.E.I.P. Román García - Albalate del Arzobispo;C. Educa.;978812231;;Alcubierre;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0025;C/ Canfranc 22-24;Direccion Cartografia (Antiguo);Admon.;;;Monzón;Zaragoza;LS5011001D;50004;5019;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0027;Camino de Monzalbarba s/n, bajo (Parque Deportivo Ebro);Parque Deportivo Ebro;Admon.;;;Alcolea de Cinca;Zaragoza;LS5011001D;50011;5019;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2323;Ronda Pintor Gárate s/n;A.C.E.P.A. Albalate del Arzobispo - Albalate del Arzobispo;C. Educa.;978812194;;Alera;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2767;C/ Nueva, 6;C.R.A. Monegros Norte - Albalatillo;C. Educa.;974572901;;Alfajarín;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0153;Camino de Gea, 5;Camino de Gea, 5;Admon.;710188;;Alfamén;Teruel;LS5011001D;44100;4461;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0154;Camino de Gea, 21;Residencia Geriatrica Albarracin;Admon.;978710178;638895284 / 749073;Algayón;Teruel;LS5011001D;44100;4461;;L, V, D;activo;ES. REMOTO;24x7;;619056833 / 793318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0033;C/ Ramon y Cajal 18, bajo (Agencia Extension Agraria);Ramon y Cajal 18, Bajo (Agencia Extension Agraria);Admon.;855794;;Alfambra;Zaragoza;LS5011001D;50660;5073;;baja;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0166;C/ Catedral, 5;OCA Albarracin;Admon.;978704005;629365916 / 749029;Alhama de Aragón;Teruel;LS5011001D;44100;4461;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0186;C/ Jesus, 10;Jesus, 10;Admon.;710080;;Aliaga;Teruel;LS5011001D;44100;4461;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0236;C/ Santa Maria, 5;Albergue Rosa Brios;Admon.;#N/A;;Allepuz;Teruel;LS5011001D;44100;4461;;bien;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0609;Camino del Santo Cristo, s/n;Centro Salud Albarracín;Salud;978710127;978223911;Allepuz ;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;676629630 / 730064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1002;C/ Catedral, 2 O Plaza del Palacio s/n;Fundación Santa Maria de Albarracín;Admon.;;;Alloza;Teruel;;;;;;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1679;C/ Portal de Molina, 16;SARGA Albarracin;Externo;;;Almolda (La);Teruel;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1704;PLAZA MAYOR, 1;AGRUP. SECR. JUZGADOS DE PAZ DE ALBARRACIN;Externo;978710053;;Almonacid de la Cuba;TERUEL;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1742;CONJUNTO HISTORICO ARTISTICO DE ALBARRACIN;CONJUNTO HISTÓRICO ARTÍSTICO DE ALBARRACIN;Externo;;;Almonacid de la Sierra;TERUEL;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2309;Camino de Gea s/n;C.R.A. de Albarracín - Albarracín;C. Educa.;978710052;;ALMUDEVAR;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2364;Camino de Gea 19;I.E.S. Albarracin - Albarracín;C. Educa.;978710215;;Almudévar;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2389;Camino de Gea s/n;C.R.I.E. Albarracin - Albarracín;C. Educa.;978710153;;Almunia de Doña Godina (La);Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2214;C/ Las Cruces 3;C.R.A. Javalambre - Albentosa;C. Educa.;978785805;;Almunia de San Juan;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2632;C/ Escuelas 5;C.R.A. Ínsula Barataria - Alcalá de Ebro;C. Educa.;976615829;;Alpartir;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2303;C/ Castillo Alto 2, bajo;C.R.A. Pórtico de Aragón - Alcalá de la Selva;C. Educa.;978801174;;Alquézar;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023;C/ Autonomía de Aragón 22;C.R.A. la Llitera - Alcampell;C. Educa.;974421143;;Altorricón;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0139;Avda. Aragon, s/n;Avenida Aragon s/n;Admon.;831101;;Ambel;Teruel;LS5011001D;44600;4462;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0140;Avda. Bartolome Esteban, 58;Oficina Delegada de Alcañiz;Admon.;978834545;;Andorra;Teruel;LS5011001D;44600;4462;;L, V, D;activo;ES. REMOTO;12X5;978870922 Emergencia ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0141;Avda. Bartolome Esteban, s/n;Guarderia Dehesa de Pasaman;Admon.;;;Andorra ;Teruel;LS5011001D;44600;4462;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0143;Avda. del Maestrazgo, 33;Parque de Maquinaria Alcañiz;Admon.;978835580;636714022 / 749041;Angüés;Teruel;LS5011001D;44600;4462;;L, V, D;activo;ES. REMOTO;12X5;;608837007 / 772524 Celador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0144;Avda. del Maestrazgo, s/n;Parque de Zona y 12 Viviendas;Admon.;831272;;Aniñón;Teruel;LS5011001D;44600;4462;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0151;C/ Belmonte de San Jose, s/n;Finca Experimental;Admon.;978830210;;Ansó;Teruel;LS5011001D;44600;4462;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0207;Poligono Industrial Las Horcas, s/n;Poligono Industrial Las Horcas, s/n;Admon.;831855;;Añón de Moncayo;Teruel;LS5011001D;44600;4462;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0331;Avda. Bartolome Esteban 58;Centro de Capacitacion Agraria;Admon.;;;Aragues Del Puerto;Teruel;LS5011001D;44600;;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0470;C/ Ciudad Deportiva, 10;Oficina Empleo de Alcañiz;Admon.;978831495;638030348 / 749039;Aranda de Moncayo;Teruel;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0563;Avda. Aragon, 46;CME Alcañiz 2 (ant. C.S.);Salud;978834485;;Arándiga;Teruel;;;;;L, V, D;activo;ES. REMOTO;12X5;978831076 RDSI Local;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0564;C/ Andres Vives, s/n;Centro Salud Alcañiz;Salud;978831718;978223924;Arcos de las Salinas;Teruel;;;;;L, V, D;activo;ES. REMOTO;12x5;;689577564 / 710498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0571;C/ Doctor Repolles, 2;Hospital de Alcañiz;Salud;978830100;978876019;Arén;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;"629321551 / 730045 Enlace centralita; 638081038 / 730043 Guardia Mant.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0662;Avda. Aragón, 46;061 Uvi Alcañiz /  Centro de Salud Alcañiz;Salud;;;Arens de Lledó;Teruel;;;;MLAN;L, D;activo;ES. REMOTO;12X5;David Añon - 514064;636185458 / 710513 Coordinador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1058;Glorieta de Valencia, s/n;Hogar 3ª Edad Alcañiz;Admon.;978830781;620843041 / 749093;Argente;Teruel;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1079;C/ Zaragoza Pol la Laguna , ;Silo Alcañiz;Admon.;978830468;;Arguis;Teruel;;;;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1083;C/ Muro Santa Maria, ;Panel de Catas;Admon.;978870639;;Ariño;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1512;C/ Padre Nicolás Sancho, 4;Juzgado de Alcañiz;Justicia;978830202;978223937;Ariza;Teruel;;;;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1620;Plaza Deán, 2;La Ciudad del Motor de Aragón S.A.;Externo;;;Atea;Teruel;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1621;Technopark Motorland;Fundación Moto Engineering Foundation;Externo;;;Ateca;Teruel;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1622;C/ Alejandre, 23;Parque Tecnológico del Motor;Externo;;;Ayerbe;Teruel;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1666;Ctra. Escatrón. Poligono Industrial la Estación. nave 2;SARGA. Alcañiz;Externo;;;AZAILA;Teruel;;;;;bien;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1688;Ciudad del Motor , Circuito Velocidad Bajo;La Ciudad del Motor de Aragón S.A.;Externo;;;Azanuy;Teruel;;;;;;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1743;CONJUNTO HISTORICO ARTISTICO DE ALCAÑIZ;CONJUNTO HISTORICO ARTISTICO DE ALCAÑIZ;Externo;;;Azara;TERUEL;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2130;C/ Ronda de Caspe 1;C.E.I.P. Emilio Díaz - Alcañiz;C. Educa.;978832421;;Azuara;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2210;C/ García Lorca 18;"C.M. ""José Peris Lacasa"" de Alcañiz (Conservatorio) - Alcañiz";C. Educa.;978831898;;Bailo;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2211;C/ José Pardo Sastrón s/n;E.O.I. de Alcañiz - Alcañiz;C. Educa.;978832936;;Bailo ;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2232;C/ Nicanor Villalta 2;C.P.E.P.A. Río Guadalope - Alcañiz;C. Educa.;978870555;;Ballobar;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0076;Avda. Pueyo 78;Guarderia Infantil Nra Sra de la Alegria;Admon.;401626;;Baguena;Huesca;LS5011001D;22400;2269;;dublicado con 2113;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2361;C/ José Pardo Sastrón s/n;I.E.S. Bajo Aragón - Alcañiz;C. Educa.;978831063;;Barbastro;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2370;C/ Morella s/n;C.E.I.P. Juan Sobrarias - Alcañiz;C. Educa.;978834035;;Bárboles;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2375;Avda. Aragón s/n;G.I. Santo Angel Custodio - Alcañiz;C. Educa.;978870960;;Bardallur;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2376;C/ José Pardo Sastrón 1 1 A;C.P.R. de Alcañiz - Alcañiz;C. Educa.;978832803;;Bárdena del Caudillo;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2379;C/ Las Monjas 17;E.O.E.P. Equipo General de Orientacion Ed. y Ps. - Alcañiz;C. Educa.;978832881;;Barrachina;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2834;Avda. Aragón 28;C.E.I.P. Juan Lorenzo Palmireno - Alcañiz;C. Educa.;978831338;;Barriada Obrera del Sur;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2859;C/ José Pardo Sastrón 1;C.P.I.F.P. Bajo Aragón - Alcañiz;C. Educa.;978641250;;Bayo (El);Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2910;C/ José Pardo Sastrón 1;E.A.T. Equipo de Orientación Educativa de  Atencion Temprana Alcañiz;C. Educa.;;;Beceite;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9571;C/ Doctor Repolles, 2;CPD Hospital de Alcañiz;CPD;;;Belchite;Teruel;;;;;;activo;CRITICO;24x7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2104;C/ Autonomía de Aragón s/n;I.E.S. Cinca-Alcanadre - Alcolea de Cinca;C. Educa.;974468236;;Bello;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2804;Avda. Autonomía de Aragón s/n;C.E.I.P. José Manuel Blecua - Alcolea de Cinca;C. Educa.;974468585;;Belver de Cinca;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0196;C/ Marques de Lema, 53;OCA Alcorisa;Admon.;978841020;629365498 / 749030;Benabarre;Teruel;LS5011001D;44550;4463;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0565;C/ Constantino Lorente, 16;Centro Salud Alcorisa;Salud;978883071;978223926;Benasque;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;680980224 / 730022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1092;Afueras, Helipuerto;Helipuerto Alcorisa;Admon.;;;Berbegal;Teruel;;;;;???;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1705;PLAZA DE ARCOS, 1;AGRUP. SECR. JUZGADOS DE PAZ DE ALCORISA;Externo;978840025;;Berdún;TERUEL;;;;;DU;activo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2131;C/ San Pascual 22;C.E.I.P. El Justicia de Aragón - Alcorisa;C. Educa.;978840275;;Berge;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2324;C/ Fuente Nueva 15;C.P.E.P.A. de Alcorisa - Alcorisa;C. Educa.;978841015;;Bescos de Garcipollera;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2344;C/ Miguel de Cervantes s/n;I.E.S. Damián Forment - Alcorisa;C. Educa.;978840734;;Bezas;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2388;Plaza del Seminario 1;C.R.I.E. Alcorisa - Alcorisa;C. Educa.;978840503;;Bielsa;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2827;C/ Miguel de Cervantes 1;Centro Aragonés de Tecnologías Para la Educación (Catedu) - Alcorisa;C. Educa.;978841086;;Bierge;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2089;C/ Mayor s/n;C.R.A. la Sabina - Alcubierre;C. Educa.;974574177;;Biescas;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2692;C/ Mayor s/n;C.R.A. los Bañales - Alera;C. Educa.;976675526;;Binaced;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0295;Plaza España 6, bajos;Plaza España 6, Bajos;Admon.;101170;;Binéfar;Zaragoza;LS5011001D;50172;5012;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0623;Avda. Europa, 61;Centro Salud Alfajarin;Salud;976790650;976696235;Biota;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;24x7;;649487508 / 710083;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1102;Ctra. de Madrid Barcelona Km.343, 2 bajo ;Alarma Casino de Zaragoza;Admon.;976102004;;Blancas;Zaragoza;;;;;L;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2393;C/ la Portaza 50;C.E.I.P. Brianda de Luna - Alfajarín;C. Educa.;976100135;;Bolea;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0170;C/ Doctor Lopez, 99;Garaje;Admon.;770128;;Boltaña;Teruel;LS5011001D;44160;4464;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0177;C/ Estudio, 5;Estudio, 5;Admon.;770365;;Boquiñeni;Teruel;LS5011001D;44160;4464;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0178;C/ Estudio, s/n;OCA Alfambra;Admon.;978770500;619807620 / 749005;Bordón;Teruel;LS5011001D;44160;4464;;L, V, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0372;C/ Trinquete;Trinquete;Admon.;;;Borja;Teruel;;;;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0610;C/ Monseñor Santos Abril, s/n;Centro Salud Alfambra;Salud;978770353;978223912;Botorrita;Teruel;;;;;L, V, D;activo;ES. REMOTO;24x7;;660516105 / 730059;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2142;C/ Doctor López s/n;C.R.A. Teruel Uno - Alfambra;C. Educa.;978770387;;Brea de Aragón;Teruel;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2653;Ctra. Longares 57;C.E.I.P. Mateo Valero - Alfamén;C. Educa.;976626242;;Bronchales;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2075;C/ Escuelas 16;C.R.A. de Altorricón - Algayón;C. Educa.;974424036;;Broto;Huesca;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0591;C/ Marquesa de Esquilache;Centro Salud Alhama de Aragon;Salud;976840536;;BRUSELAS;Zaragoza;;;;;L, V, D;activo;ES. REMOTO;24x7;;619422381 / 710011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2726;Avda. de Aragon 19;C.E.I.P. Pablo Luna - Alhama de Aragón;C. Educa.;976840024;;Bubal;Zaragoza;;;;;L, D;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0152;C/ Callejuelas, 2;Callejuelas,2;Admon.;771006;;Bujaraloz;Teruel;LS5011001D;44150;4464;;no inventario;inactivo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0219;Plaza Mayor, 3;OCA Aliaga;Admon.;978771439;;Bureta;Teruel;LS5011001D;44150;4464;;L, D ;activo;ES. REMOTO;12X5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
