slug,name,parent
ferreruela-de-huerva,Ferreruela De Huerva,Provincia Huesca
figueruelas,Figueruelas,Provincia Huesca
fiscal,Fiscal,Provincia Zaragoza
fonz,Fonz,Provincia Zaragoza
formiche-alto,Formiche Alto,Provincia Teruel
formigal,Formigal,Provincia Teruel
fortanete,Fortanete,Provincia Huesca
foz-calanda,Foz-Calanda,Provincia Huesca
fraga,Fraga,Provincia Huesca
frago-el,Frago (El),Provincia Huesca
frasno-el,Frasno (El),Provincia Huesca
fresneda-la,Fresneda (La),Provincia Huesca
frias-de-albarracin,Frías De Albarracin,Provincia Huesca
frias-de-albarracin,Frías De Albarracín,Provincia Huesca
frula,Frula,Provincia Huesca
fuendejalon,Fuendejalón,Provincia Huesca
fuentes-calientes,Fuentes Calientes,Provincia Huesca
fuentes-claras,Fuentes Claras,Provincia Huesca
fuentes-de-ebro,Fuentes De Ebro,Provincia Huesca
fuentes-de-jiloca,Fuentes De Jiloca,Provincia Huesca
fuentes-de-rubielos,Fuentes De Rubielos,Provincia Huesca
fuentespalda,Fuentespalda,Provincia Huesca
gallocanta,Gallocanta,Provincia Huesca
gallur,Gallur,Provincia Huesca
galve,Galve,Provincia Huesca
gargallo,Gargallo,Provincia Huesca
garrapinillos,Garrapinillos,Provincia Huesca
gea-de-albarracin,Gea De Albarracín,Provincia Huesca
gelsa,Gelsa,Provincia Huesca
ginebrosa-la,Ginebrosa (La),Provincia Huesca
gistain,Gistaín,Provincia Huesca
gotor,Gotor,Provincia Huesca
grado-el,Grado (El),Provincia Huesca
granen,Grañén,Provincia Huesca
graus,Graus,Provincia Huesca
griegos,Griegos,Provincia Zaragoza
grisen,Grisén,Provincia Zaragoza
guadalaviar,Guadalaviar,Provincia Teruel
gudar,Gúdar,Provincia Teruel
gurrea-de-gallego,Gurrea De Gallego,Provincia Zaragoza
gurrea-de-gallego,Gurrea De Gállego,Provincia Teruel
hecho,Hecho,Provincia Teruel
hijar,Hijar,Provincia Zaragoza
hijar,Híjar,Provincia Zaragoza
hinojosa-de-jarque,Hinojosa De Jarque,Provincia Zaragoza
huerto,Huerto,Provincia Zaragoza
huesca,Huesca,Provincia Zaragoza
ibdes,Ibdes,Provincia Zaragoza
iglesuela-del-cid-la,Iglesuela Del Cid (La),Provincia Teruel
illueca,Illueca,Provincia Teruel
herrera-de-los-navarros,Herrera De Los Navarros,Provincia Zaragoza
jabaloyas,Jabaloyas,Provincia Teruel
jaca,Jaca,Provincia Zaragoza
jaraba,Jaraba,Provincia Teruel
jarque-de-moncayo,Jarque De Moncayo,Provincia Huesca
jasa,Jasa,Provincia Huesca
jaulin,Jaulín,Provincia Huesca
javierregay,Javierregay,Provincia Huesca
joyosa-la,Joyosa (La),Provincia Huesca
juslibol,Juslibol,Provincia Huesca
ladrunan,Ladruñán,Provincia Huesca
lafortunada,Lafortunada,Provincia Huesca
laluenga,Laluenga,Provincia Huesca
lalueza,Lalueza,Provincia Huesca
lanaja,Lanaja,Provincia Huesca
lascuarre,Lascuarre,Provincia Huesca
laspaules,Laspaúles,Provincia Huesca
laspuna,Laspuña,Provincia Huesca
lecera,Lécera,Provincia Huesca
lecinena,Leciñena,Provincia Huesca
letux,Letux,Provincia Huesca
libros,Libros,Provincia Huesca
linares-de-mora,Linares De Mora,Provincia Teruel
litera,Litera,Provincia Huesca
lledo,Lledó,Provincia Teruel
loarre,Loarre,Provincia Huesca
longares,Longares,Provincia Huesca
loscos,Loscos,Provincia Huesca
lucena-de-jalon,Lucena De Jalón,Provincia Huesca
luco-de-jiloca,Luco De Jiloca,Provincia Huesca
luesia,Luesia,Provincia Huesca
lumpiaque,Lumpiaque,Provincia Huesca
luna,Luna,Provincia Huesca
lupinen,Lupiñén,Provincia Huesca
luceni,Luceni,Provincia Zaragoza
madrid,Madrid,Provincia Huesca
maella,Maella,Provincia Huesca
mainar,Mainar,Provincia Huesca
malejan,Maleján,Provincia Huesca
mallen,Mallén,Provincia Huesca
malon,Malón,Provincia Huesca
maluenda,Maluenda,Provincia Huesca
magallon,Magallón,Provincia Zaragoza
manzanera,Manzanera,Provincia Huesca
mara,Mara,Provincia Huesca
maria-de-huerva,María De Huerva,Provincia Huesca
martin-del-rio,Martín Del Río,Provincia Huesca
mas-de-las-matas,Mas De Las Matas,Provincia Huesca
mata-de-los-olmos-la,Mata De Los Olmos (La),Provincia Huesca
mazaleon,Mazaleón,Provincia Huesca
mediana-de-aragon,Mediana De Aragón,Provincia Zaragoza
mequinenza,Mequinenza,Provincia Teruel
mesones-de-isuela,Mesones De Isuela,Provincia Huesca
mezalocha,Mezalocha,Provincia Huesca
mezquita-de-jarque,Mezquita De Jarque,Provincia Huesca
miedes-de-aragon,Miedes De Aragón,Provincia Huesca
miralsot,Miralsot,Provincia Huesca
molinos,Molinos,Provincia Huesca
monasterio-de-piedra,Monasterio De Piedra,Provincia Huesca
monegrillo,Monegrillo,Provincia Huesca
monreal-de-ariza,Monreal De Ariza,Provincia Huesca
monreal-del-campo,Monreal Del Campo,Provincia Huesca
monroyo,Monroyo,Provincia Huesca
montalban,Montalban,Provincia Zaragoza
montalban,Montalbán,Provincia Teruel
montanuy,Montanuy,Provincia Zaragoza
montanana,Montañana,Provincia Zaragoza
monterde,Monterde,Provincia Zaragoza
montesusin,Montesusín,Provincia Zaragoza
monzalbarba,Monzalbarba,Provincia Zaragoza
mora-de-rubielos,Mora De Rubielos,Provincia Zaragoza
morata-de-jalon,Morata De Jalon,Provincia Zaragoza
morata-de-jalon,Morata De Jalón,Provincia Zaragoza
morata-de-jiloca,Morata De Jiloca,Provincia Zaragoza
mores,Morés,Provincia Zaragoza
bonansa,Bonansa,Provincia Teruel
moros,Moros,Provincia Zaragoza
mosqueruela,Mosqueruela,Provincia Zaragoza
movera,Movera,Provincia Zaragoza
moyuela,Moyuela,Provincia Zaragoza
muel,Muel,Provincia Teruel
muela-la,Muela (La),Provincia Teruel
munebrega,Munébrega,Provincia Teruel
muniesa,Muniesa,Provincia Huesca
naval,Naval,Provincia Huesca
noguera,Noguera,Provincia Huesca
noguera-de-albarracin,Noguera De Albarracín,Provincia Huesca
nogueruelas,Nogueruelas,Provincia Bruselas
nonaspe,Nonaspe,Provincia Huesca
novallas,Novallas,Provincia Zaragoza
novillas,Novillas,Provincia Zaragoza
nuevalos,Nuévalos,Provincia Zaragoza
nuez-de-ebro,Nuez De Ebro,Provincia Zaragoza
obon,Obón,Provincia Zaragoza
odon,Odón,Provincia Zaragoza
ojos-negros,Ojos Negros,Provincia Zaragoza
olba,Olba,Provincia Zaragoza
oliete,Oliete,Provincia Zaragoza
olmos-los,Olmos (Los),Provincia Zaragoza
ontinar-de-salz,Ontinar De Salz,Provincia Teruel
ontinena,Ontiñena,Provincia Teruel
orihuela-del-tremedal,Orihuela Del Tremedal,Provincia Teruel
orillena,Orillena,Provincia Teruel
orrios,Orrios,Provincia Teruel
osera-de-ebro,Osera De Ebro,Provincia Teruel
osso-de-cinca,Osso De Cinca,Provincia Teruel
pallaruelo-de-monegros,Pallaruelo De Monegros,Provincia Teruel
palomar-de-arroyos,Palomar De Arroyos,Provincia Teruel
pancrudo,Pancrudo,Provincia Teruel
paniza,Paniza,Provincia Teruel
panticosa,Panticosa,Provincia Teruel
paracuellos-de-jiloca,Paracuellos De Jiloca,Provincia Teruel
parzan,Parzan,Provincia Teruel
pastriz,Pastriz,Provincia Teruel
paules-de-sarsa,Paúles De Sarsa,Provincia Teruel
pedrola,Pedrola,Provincia Teruel
penaflor,Peñaflor,Provincia Teruel
penalba,Peñalba,Provincia Teruel
penarroya-de-tastavins,Peñarroya De Tastavins,Provincia Teruel
perales-del-alfambra,Perales Del Alfambra,Provincia Teruel
peralta-de-alcofea,Peralta De Alcofea,Provincia Teruel
pertusa,Pertusa,Provincia Teruel
piedratajada,Piedratajada,Provincia Teruel
pina,Pina,Provincia Teruel
pina-de-ebro,Pina De Ebro,Provincia Teruel
perdiguera,Perdiguera,Provincia Zaragoza
pinseque,Pinseque,Provincia Zaragoza
pinsoro,Pinsoro,Provincia Zaragoza
pitarque,Pitarque,Provincia Zaragoza
plan,Plan,Provincia Zaragoza
plasencia-de-jalon,Plasencia De Jalón,Provincia Zaragoza
pobo-el,Pobo (El),Provincia Zaragoza
pomar-de-cinca,Pomar De Cinca,Provincia Zaragoza
portellada-la,Portellada (La),Provincia Zaragoza
poyo-del-cid-el,Poyo Del Cid (El),Provincia Zaragoza
plasencia-del-monte,Plasencia Del Monte,Provincia Zaragoza
pozan-de-vero,Pozán De Vero,Provincia Zaragoza
pozuelo-de-aragon,Pozuelo De Aragón,Provincia Zaragoza
pradilla-de-ebro,Pradilla De Ebro,Provincia Zaragoza
puebla-de-alfinden-la,Puebla De Alfindén (La),Provincia Zaragoza
puebla-de-castro-la,Puebla De Castro (La),Provincia Zaragoza
puebla-de-hijar-la,Puebla De Híjar (La),Provincia Zaragoza
puebla-de-roda-la,Puebla De Roda (La),Provincia Zaragoza
puebla-de-valverde-la,Puebla De Valverde (La),Provincia Zaragoza
puente-la-reina-de-jaca,Puente La Reina De Jaca,Provincia Zaragoza
puertomingalvo,Puertomingalvo,Provincia Zaragoza
pueyo-de-santa-cruz,Pueyo De Santa Cruz,Provincia Zaragoza
puigmoreno,Puigmoreno,Provincia Zaragoza
quinto,Quinto,Provincia Zaragoza
rafales,Ráfales,Provincia Zaragoza
pueyo-de-jaca-el,Pueyo De Jaca (El),Provincia Teruel
remolinos,Remolinos,Provincia Zaragoza
ricla,Ricla,Provincia Zaragoza
riodeva,Riodeva,Provincia Zaragoza
rivas,Rivas,Provincia Zaragoza
robres,Robres,Provincia Zaragoza
royuela,Royuela,Provincia Zaragoza
rubielos-de-mora,Rubielos De Mora,Provincia Zaragoza
rueda-de-jalon,Rueda De Jalón,Provincia Zaragoza
sabinar-el,Sabinar (El),Provincia Zaragoza
sabinanigo,Sabiñanigo,Provincia Zaragoza
sabinanigo,Sabiñánigo,Provincia Zaragoza
sadaba,Sádaba,Provincia Zaragoza
sahun,Sahún,Provincia Zaragoza
salas-altas,Salas Altas,Provincia Zaragoza
salillas-de-jalon,Salillas De Jalón,Provincia Huesca
sallent-de-gallego,Sallent De Gállego,Provincia Teruel
salvatierra-de-esca,Salvatierra De Esca,Provincia Teruel
samper-de-calanda,Samper De Calanda,Provincia Teruel
san-agustin,San Agustín,Provincia Teruel
san-blas,San Blas,Provincia Teruel
san-esteban-de-litera,San Esteban De Litera,Provincia Teruel
san-juan-de-mozarrifar,San Juan De Mozarrifar,Provincia Teruel
san-juan-del-flumen,San Juan Del Flumen,Provincia Teruel
san-lorenzo-del-flumen,San Lorenzo Del Flumen,Provincia Teruel
san-martin-de-la-virgen-de-moncayo,San Martín De La Virgen De Moncayo,Provincia Zaragoza
san-juan-de-la-pena,San Juan De La Peña,Provincia Zaragoza
san-mateo-de-gallego,San Mateo De Gállego,Provincia Huesca
san-juan-de-plan,San Juan De Plan,Provincia Zaragoza
saninanigo,Saniñanigo,Provincia Huesca
santa-anastasia,Santa Anastasia,Provincia Huesca
santa-cruz-de-la-seros,Santa Cruz De La Seros,Provincia Huesca
santa-engracia,Santa Engracia,Provincia Huesca
santa-eulalia,Santa Eulalia,Provincia Huesca
santalecina,Santalecina,Provincia Huesca
santa-cilia,Santa Cilia,Provincia Zaragoza
santuario-de-misericordia,Santuario De Misericordia,Provincia Huesca
saravillo,Saravillo,Provincia Teruel
santa-engracia-de-jaca,Santa Engracia De Jaca,Provincia Teruel
sarinena,Sariñena,Provincia Teruel
sarrion,Sarrión,Provincia Teruel
sarvise,Sarvise,Provincia Teruel
sastago,Sástago,Provincia Teruel
savinan,Saviñán,Provincia Teruel
sena,Sena,Provincia Teruel
sesa,Sesa,Provincia Teruel
sestrica,Sestrica,Provincia Teruel
sietamo,Siétamo,Provincia Teruel
sigues,Sigues,Provincia Teruel
senegue,Senegüe,Provincia Zaragoza
sobradiel,Sobradiel,Provincia Huesca
sodeto,Sodeto,Provincia Zaragoza
sos-del-rey-catolico,Sos Del Rey Católico,Provincia Zaragoza
tabuenca,Tabuenca,Provincia Zaragoza
tamarite-de-litera,Tamarite De Litera,Provincia Zaragoza
tarazona,Tarazona,Provincia Zaragoza
tardienta,Tardienta,Provincia Zaragoza
tauste,Tauste,Provincia Zaragoza
temple-el,Temple (El),Provincia Zaragoza
terrer,Terrer,Provincia Zaragoza
terriente,Terriente,Provincia Zaragoza
teruel,Teruel,Provincia Huesca
tierga,Tierga,Provincia Zaragoza
tierrantona,Tierrantona,Provincia Zaragoza
tierz,Tierz,Provincia Zaragoza
tobed,Tobed,Provincia Huesca
tolva,Tolva,Provincia Zaragoza
torla,Torla,Provincia Zaragoza
tornos,Tornos,Provincia Zaragoza
torralba-de-los-sisones,Torralba De Los Sisones,Provincia Zaragoza
torrecilla-de-alcaniz,Torrecilla De Alcañiz,Provincia Zaragoza
torrelacarcel,Torrelacárcel,Provincia Zaragoza
torrente-de-cinca,Torrente De Cinca,Provincia Zaragoza
torres-de-albarracin,Torres De Albarracín,Provincia Zaragoza
torrevelilla,Torrevelilla,Provincia Zaragoza
torres-de-berrellen,Torres De Berrellén,Provincia Huesca
torrijas,Torrijas,Provincia Zaragoza
tosos,Tosos,Provincia Zaragoza
torrijo-del-campo,Torrijo Del Campo,Provincia Huesca
tramacastilla,Tramacastilla,Provincia Zaragoza
tramacastilla-de-tena,Tramacastilla De Tena,Provincia Zaragoza
trasobares,Trasobares,Provincia  zaragoza
uncastillo,Uncastillo,Provincia Zaragoza
undues-de-lerda,Undués De Lerda,Provincia Zaragoza
urrea-de-gaen,Urrea De Gaén,Provincia Zaragoza
urrea-de-jalon,Urrea De Jalón,Provincia Zaragoza
used,Used,Provincia Zaragoza
utebo,Utebo,Provincia Zaragoza
utrillas,Utrillas,Provincia Zaragoza
valarena,Valareña,Provincia Zaragoza
valbona,Valbona,Provincia Zaragoza
valcarca,Valcarca,Provincia Zaragoza
valdealgorfa,Valdealgorfa,Provincia Zaragoza
valdelinares,Valdelinares,Provincia Huesca
valderrobres,Valderrobres,Provincia Huesca
valdeltormo,Valdeltormo,Provincia Zaragoza
valencia,Valencia,Provincia Huesca
valjunquera,Valjunquera,Provincia Huesca
valpalmas,Valpalmas,Provincia Huesca
valmuel,Valmuel,Provincia Huesca
velilla-de-cinca,Velilla De Cinca,Provincia Huesca
velilla-de-ebro,Velilla De Ebro,Provincia Huesca
vencillon,Vencillón,Provincia Zaragoza
venta-del-aire,Venta Del Aire,Provincia Huesca
venta-del-olivar,Venta Del Olivar,Provincia Teruel
vera-de-moncayo,Vera De Moncayo,Provincia Teruel
villa-nueva-de-sigena,Villa Nueva De Sigena,Provincia Teruel
villafeliche,Villafeliche,Provincia Teruel
villafranca-de-ebro,Villafranca De Ebro,Provincia Huesca
villafranca-del-campo,Villafranca Del Campo,Provincia Zaragoza
villalba-baja,Villalba Baja,Provincia Huesca
villalengua,Villalengua,Provincia Huesca
villamayor,Villamayor,Provincia Teruel
villanua,Villanúa,Provincia Teruel
villanueva-de-gallego,Villanueva De Gállego,Provincia Teruel
villanueva-de-huerva,Villanueva De Huerva,Provincia Teruel
villanueva-de-sigena,Villanueva De Sigena,Provincia Teruel
villar-del-cobo,Villar Del Cobo,Provincia Teruel
villarluengo,Villarluengo,Provincia Teruel
villaroya-de-la-siera,Villaroya De La Siera,Provincia Teruel
villarquemado,Villarquemado,Provincia Teruel
villarreal-de-huerva,Villarreal De Huerva,Provincia Teruel
villarroya-de-la-sierra,Villarroya De La Sierra,Provincia Teruel
villarroya-de-los-pinares,Villarroya De Los Pinares,Provincia Teruel
villaspesa,Villaspesa,Provincia Teruel
villastar,Villastar,Provincia Teruel
villel,Villel,Provincia Huesca
vinaceite,Vinaceite,Provincia Huesca
visiedo,Visiedo,Provincia Teruel
zaida-la,Zaida (La),Provincia Zaragoza
zaidin,Zaidín,Provincia Huesca
zaragoza,Zaragoza,Provincia Zaragoza
zuera,Zuera,Provincia Zaragoza
